iter	Passed	Remaining
0	58	58235
1	58	29220
2	58	19569
3	59	14726
4	59	11811
5	59	9868
6	60	8538
7	60	7493
8	60	6679
9	60	6027
10	61	5495
11	61	5051
12	61	4674
13	61	4350
14	61	4069
15	62	3824
16	62	3608
17	62	3416
18	62	3243
19	63	3088
20	63	2947
21	63	2819
22	63	2703
23	63	2596
24	64	2499
25	64	2408
26	64	2324
27	64	2246
28	64	2173
29	65	2105
30	65	2041
31	65	1982
32	65	1926
33	65	1873
34	66	1824
35	66	1777
36	66	1733
37	66	1690
38	66	1650
39	67	1612
40	67	1575
41	67	1540
42	67	1508
43	67	1476
44	68	1445
45	68	1417
46	68	1389
47	68	1363
48	68	1338
49	69	1314
50	69	1290
51	69	1267
52	69	1246
53	69	1225
54	70	1205
55	70	1186
56	70	1167
57	70	1149
58	70	1132
59	71	1116
60	71	1100
61	71	1084
62	71	1069
63	72	1054
64	72	1040
65	72	1026
66	72	1012
67	72	999
68	73	986
69	73	973
70	73	961
71	73	949
72	73	938
73	74	926
74	74	916
75	74	905
76	74	895
77	74	884
78	75	875
79	75	865
80	75	856
81	75	847
82	75	836
83	75	828
84	76	819
85	76	811
86	76	803
87	76	795
88	76	787
89	77	780
90	77	772
91	77	765
92	77	758
93	77	751
94	78	744
95	78	738
96	78	731
97	78	725
98	78	718
99	79	712
100	79	706
101	79	700
102	79	694
103	79	688
104	80	683
105	80	677
106	80	672
107	80	666
108	80	661
109	81	656
110	81	651
111	81	646
112	81	641
113	81	636
114	82	632
115	82	627
116	82	622
117	82	617
118	82	613
119	83	609
120	83	604
121	83	600
122	83	596
123	83	592
124	84	588
125	84	584
126	84	579
127	84	576
128	84	572
129	84	568
130	85	565
131	85	561
132	85	557
133	85	554
134	85	550
135	86	547
136	86	544
137	86	540
138	86	537
139	86	534
140	87	531
141	87	527
142	87	524
143	87	521
144	87	518
145	88	515
146	88	512
147	88	509
148	88	506
149	88	503
150	89	500
151	89	497
152	89	494
153	89	492
154	89	489
155	90	486
156	90	484
157	90	481
158	90	479
159	90	476
160	90	473
161	91	471
162	91	468
163	91	466
164	91	464
165	91	461
166	92	459
167	92	457
168	92	454
169	92	452
170	92	450
171	93	448
172	93	446
173	93	443
174	93	441
175	93	439
176	94	437
177	94	435
178	94	433
179	94	431
180	94	429
181	95	427
182	95	425
183	95	423
184	95	421
185	95	419
186	96	417
187	96	416
188	96	414
189	96	412
190	96	410
191	97	408
192	97	406
193	97	405
194	97	403
195	97	401
196	98	399
197	98	398
198	98	396
199	98	394
200	98	393
201	99	391
202	99	390
203	99	388
204	99	386
205	99	385
206	100	383
207	100	382
208	100	380
209	100	379
210	101	377
211	101	376
212	101	374
213	101	373
214	101	371
215	102	370
216	102	369
217	102	367
218	102	366
219	102	364
220	103	363
221	103	361
222	103	360
223	103	359
224	103	357
225	104	356
226	104	355
227	104	353
228	104	352
229	104	351
230	105	350
231	105	348
232	105	347
233	105	346
234	105	344
235	106	343
236	106	342
237	106	341
238	106	339
239	106	338
240	107	337
241	107	336
242	107	334
243	107	333
244	107	332
245	108	331
246	108	330
247	108	329
248	108	328
249	109	327
250	109	325
251	109	324
252	109	323
253	109	322
254	110	321
255	110	320
256	110	319
257	110	318
258	110	317
259	111	315
260	111	314
261	111	313
262	111	312
263	111	311
264	111	310
265	112	309
266	112	308
267	112	307
268	112	306
269	112	305
270	113	304
271	113	303
272	113	302
273	113	301
274	113	300
275	114	299
276	114	298
277	114	297
278	114	296
279	115	295
280	115	294
281	115	293
282	115	292
283	115	292
284	116	291
285	116	290
286	116	289
287	116	288
288	116	287
289	117	286
290	117	285
291	117	284
292	117	283
293	117	282
294	118	282
295	118	281
296	118	280
297	118	279
298	118	278
299	119	277
300	119	276
301	119	276
302	119	275
303	119	274
304	120	273
305	120	272
306	120	271
307	120	271
308	120	270
309	121	269
310	121	268
311	121	267
312	121	267
313	121	266
314	122	265
315	122	264
316	122	263
317	122	263
318	122	262
319	123	261
320	123	260
321	123	259
322	123	259
323	123	258
324	124	257
325	124	256
326	124	256
327	124	255
328	124	254
329	125	253
330	125	253
331	125	252
332	125	251
